,Sq,er,ty,ui,op,gh,fd,ds
0,GEM/2019/B/249702,All In One PC,Quantity Required:,5,04-06-2019 ,4:45 PM,12-06-2019 ,7:00 PM
1,GEM/2019/B/249735,Chairs-office,Quantity Required:,24,04-06-2019 ,4:43 PM,12-06-2019 ,7:00 PM
2,GEM/2019/RA/9835,Restaurant Table,Quantity Required:,9,05-06-2019 ,2:40 PM,12-06-2019 ,7:00 PM
3,GEM/2019/B/250229,Air Conditioner,Quantity Required:,1,05-06-2019 ,4:10 PM,12-06-2019 ,7:00 PM
4,GEM/2019/B/249767,Spirit Level,Quantity Required:,23,04-06-2019 ,4:58 PM,12-06-2019 ,7:00 PM
5,GEM/2019/B/250232,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",Quantity Required:,1,05-06-2019 ,4:19 PM,12-06-2019 ,7:00 PM
6,GEM/2019/B/250234,Multimedia Projectors,Quantity Required:,1,05-06-2019 ,4:20 PM,12-06-2019 ,7:00 PM
7,GEM/2019/B/250235,"Package No.3 ATAL TINKERING LAB OF NITI AAYOG MECHANICAL, ELECTRICAL And MEASUREMENT TOOLS",Quantity Required:,1,05-06-2019 ,4:24 PM,12-06-2019 ,7:00 PM
8,GEM/2019/RA/9840,STEEL BODY EVAPORATIVE COOLERS- DESERT COOLER,Quantity Required:,5,05-06-2019 ,4:33 PM,12-06-2019 ,7:00 PM
9,GEM/2019/B/250237,Package No.2: ATAL TINKERING LAB OF NITI AAYOG RAPID PROTOTYPING TOOLS,Quantity Required:,1,05-06-2019 ,4:28 PM,12-06-2019 ,7:00 PM
